# step rank resident
187 4 1243196
187 5 834108
187 6 1004968
187 7 1088664
# 187 mean resident memory: 1034214.000000, balance: 0.395554
189 0 1146540
189 1 875992
189 2 1013964
189 3 1072884
189 4 1243428
189 5 838500
189 6 1013140
189 7 1090888
# 189 mean resident memory: 1036917.000000, balance: 0.390511
191 0 1152620
191 1 880324
191 2 1016540
191 3 1074708
191 4 1248292
191 5 839168
191 6 1014016
191 7 1092796
# 191 mean resident memory: 1039808.000000, balance: 0.393461
193 0 1156216
193 1 882352
193 2 1022072
193 3 1074284
193 4 1234800
193 5 842424
193 6 1024216
193 7 1093020
# 193 mean resident memory: 1041173.000000, balance: 0.376860
195 0 1171372
195 1 883376
195 2 1019944
195 3 1074016
195 4 1240516
195 5 829748
195 6 1019476
195 7 1092960
# 195 mean resident memory: 1041426.000000, balance: 0.394428
197 0 1170104
197 1 872392
197 2 1027128
197 3 1076172
197 4 1244832
197 5 820088
197 6 1030352
197 7 1094656
# 197 mean resident memory: 1041965.500000, balance: 0.407637
199 0 1157408
199 1 875180
199 2 1021716
199 3 1078312
199 4 1248604
199 5 822532
199 6 1023932
199 7 1095252
# 199 mean resident memory: 1040367.000000, balance: 0.409540
201 0 1164856
201 1 877628
201 2 1025336
201 3 1078196
201 4 1253752
201 5 824748
201 6 1031168
201 7 1095000
# 201 mean resident memory: 1043835.500000, balance: 0.410988
203 0 1194540
203 1 873108
203 2 1025976
203 3 1078472
203 4 1260732
203 5 828008
203 6 1028512
203 7 1100332
# 203 mean resident memory: 1048710.000000, balance: 0.412625
205 0 1191020
205 1 879336
205 2 1029280
205 3 1081476
205 4 1263828
205 5 826180
205 6 1036432
205 7 1098060
# 205 mean resident memory: 1050701.500000, balance: 0.416529
207 0 1185396
207 1 880704
207 2 1025248
207 3 1089088
207 4 1286380
207 5 828720
207 6 1038284
207 7 1101276
# 207 mean resident memory: 1054387.000000, balance: 0.434053
209 0 1182012
209 1 881984
209 2 1018808
209 3 1093216
209 4 1295296
209 5 831160
209 6 1032288
209 7 1104532
# 209 mean resident memory: 1054912.000000, balance: 0.439976
211 0 1189896
211 1 887084
211 2 1020444
211 3 1097256
211 4 1276700
211 5 833744
211 6 1037300
211 7 1104672
# 211 mean resident memory: 1055887.000000, balance: 0.419511
213 0 1183360
213 1 889988
213 2 1024996
213 3 1090112
213 4 1278324
213 5 833652
213 6 1045568
213 7 1103512
# 213 mean resident memory: 1056189.000000, balance: 0.421016
215 0 1185744
215 1 894040
215 2 1020860
215 3 1095192
215 4 1280696
215 5 836268
215 6 1035976
215 7 1107900
# 215 mean resident memory: 1057084.500000, balance: 0.420428
217 0 1186944
217 1 897380
217 2 1027232
217 3 1095056
217 4 1274488
217 5 835748
217 6 1033464
217 7 1108072
