# step rank user sys sum deadfrac
65 6 263.000000 85.000000 348.000000 0.756415
65 7 522.000000 71.000000 593.000000 0.605282
# 65 mean times: 367.250000 79.500000 446.750000
# 65 balance: 0.860449, expected: 0.100000 (sys: 0.301887, total: 0.653609)
67 0 459.000000 77.000000 536.000000 0.614990
67 1 204.000000 81.000000 285.000000 0.772327
67 2 242.000000 81.000000 323.000000 0.749440
67 3 523.000000 72.000000 595.000000 0.568398
67 4 484.000000 81.000000 565.000000 0.598829
67 5 221.000000 80.000000 301.000000 0.765325
67 6 253.000000 82.000000 335.000000 0.746574
67 7 544.000000 71.000000 615.000000 0.566025
# 67 mean times: 366.250000 78.125000 444.375000
# 67 balance: 0.928328, expected: 0.100000 (sys: 0.140800, total: 0.742616)
69 0 452.000000 87.000000 539.000000 0.623032
69 1 204.000000 86.000000 290.000000 0.774525
69 2 260.000000 79.000000 339.000000 0.747933
69 3 522.000000 75.000000 597.000000 0.578421
69 4 496.000000 81.000000 577.000000 0.580961
69 5 225.000000 85.000000 310.000000 0.764050
69 6 260.000000 80.000000 340.000000 0.745291
69 7 542.000000 70.000000 612.000000 0.569163
# 69 mean times: 370.125000 80.375000 450.500000
# 69 balance: 0.913205, expected: 0.100000 (sys: 0.211509, total: 0.714761)
71 0 455.000000 87.000000 542.000000 0.616271
71 1 204.000000 86.000000 290.000000 0.771000
71 2 256.000000 82.000000 338.000000 0.747372
71 3 449.000000 68.000000 517.000000 0.580565
71 4 493.000000 76.000000 569.000000 0.585419
71 5 215.000000 88.000000 303.000000 0.767332
71 6 254.000000 86.000000 340.000000 0.746251
71 7 536.000000 66.000000 602.000000 0.577285
# 71 mean times: 357.750000 79.875000 437.625000
# 71 balance: 0.928022, expected: 0.100000 (sys: 0.275430, total: 0.712939)
73 0 472.000000 77.000000 549.000000 0.630543
73 1 218.000000 84.000000 302.000000 0.780164
73 2 272.000000 86.000000 358.000000 0.747081
73 3 526.000000 74.000000 600.000000 0.591969
73 4 490.000000 79.000000 569.000000 0.595403
73 5 228.000000 83.000000 311.000000 0.776171
73 6 259.000000 84.000000 343.000000 0.755080
73 7 535.000000 69.000000 604.000000 0.589115
# 73 mean times: 375.000000 79.500000 454.500000
# 73 balance: 0.845333, expected: 0.100000 (sys: 0.213836, total: 0.664466)
75 0 423.000000 86.000000 509.000000 0.621767
75 1 209.000000 85.000000 294.000000 0.776004
75 2 263.000000 79.000000 342.000000 0.751733
75 3 469.000000 72.000000 541.000000 0.574882
75 4 497.000000 77.000000 574.000000 0.585787
75 5 215.000000 84.000000 299.000000 0.777881
75 6 250.000000 84.000000 334.000000 0.754076
75 7 544.000000 70.000000 614.000000 0.569007
# 75 mean times: 358.750000 79.625000 438.375000
# 75 balance: 0.933798, expected: 0.100000 (sys: 0.200942, total: 0.729969)
77 0 463.000000 84.000000 547.000000 0.621692
77 1 210.000000 85.000000 295.000000 0.772685
77 2 268.000000 84.000000 352.000000 0.743207
77 3 471.000000 69.000000 540.000000 0.579542
77 4 457.000000 78.000000 535.000000 0.581054
77 5 225.000000 81.000000 306.000000 0.771269
77 6 254.000000 86.000000 340.000000 0.747371
77 7 530.000000 73.000000 603.000000 0.585338
# 77 mean times: 359.750000 80.000000 439.750000
# 77 balance: 0.889507, expected: 0.100000 (sys: 0.212500, total: 0.700398)
79 0 449.000000 90.000000 539.000000 0.620064
79 1 212.000000 82.000000 294.000000 0.773215
79 2 268.000000 76.000000 344.000000 0.746645
79 3 539.000000 75.000000 614.000000 0.574916
79 4 443.000000 75.000000 518.000000 0.590175
79 5 224.000000 80.000000 304.000000 0.768193
79 6 249.000000 83.000000 332.000000 0.749134
79 7 526.000000 67.000000 593.000000 0.577009
# 79 mean times: 363.750000 78.500000 442.250000
# 79 balance: 0.898969, expected: 0.100000 (sys: 0.292994, total: 0.723573)
81 0 470.000000 81.000000 551.000000 0.624979
81 1 204.000000 94.000000 298.000000 0.773941
81 2 267.000000 79.000000 346.000000 0.746665
81 3 549.000000 69.000000 618.000000 0.580546
81 4 496.000000 77.000000 573.000000 0.593174
81 5 222.000000 85.000000 307.000000 0.771427
81 6 251.000000 82.000000 333.000000 0.750683
81 7 546.000000 73.000000 619.000000 0.578337
# 81 mean times: 375.625000 80.000000 455.625000
# 81 balance: 0.918469, expected: 0.100000 (sys: 0.312500, total: 0.704527)
83 0 431.000000 79.000000 510.000000 0.636458
83 1 217.000000 85.000000 302.000000 0.786641
83 2 258.000000 85.000000 343.000000 0.768814
83 3 483.000000 68.000000 551.000000 0.584677
83 4 503.000000 77.000000 580.000000 0.608497
83 5 209.000000 89.000000 298.000000 0.785720
83 6 256.000000 82.000000 338.000000 0.766733
83 7 457.000000 77.000000 534.000000 0.595639
# 83 mean times: 351.750000 80.250000 432.000000
# 83 balance: 0.835821, expected: 0.100000 (sys: 0.261682, total: 0.652778)
85 0 467.000000 86.000000 553.000000 0.639433
85 1 205.000000 93.000000 298.000000 0.790689
85 2 266.000000 87.000000 353.000000 0.761120
85 3 538.000000 68.000000 606.000000 0.591549
85 4 504.000000 79.000000 583.000000 0.614338
85 5 227.000000 82.000000 309.000000 0.784316
85 6 259.000000 84.000000 343.000000 0.761778
85 7 548.000000 74.000000 622.000000 0.584377
# 85 mean times: 376.750000 81.625000 458.375000
# 85 balance: 0.910418, expected: 0.100000 (sys: 0.306279, total: 0.706845)
87 0 475.000000 83.000000 558.000000 0.656155
87 1 218.000000 94.000000 312.000000 0.798095
87 2 267.000000 92.000000 359.000000 0.776598
87 3 527.000000 72.000000 599.000000 0.619656
87 4 487.000000 94.000000 581.000000 0.618932
87 5 237.000000 86.000000 323.000000 0.795702
87 6 256.000000 88.000000 344.000000 0.777456
87 7 533.000000 77.000000 610.000000 0.619641
# 87 mean times: 375.000000 85.750000 460.750000
# 87 balance: 0.840000, expected: 0.100000 (sys: 0.256560, total: 0.646772)
89 0 470.000000 77.000000 547.000000 0.626778
89 1 202.000000 90.000000 292.000000 0.782948
89 2 270.000000 79.000000 349.000000 0.756846
89 3 480.000000 65.000000 545.000000 0.569225
89 4 485.000000 79.000000 564.000000 0.602045
89 5 208.000000 87.000000 295.000000 0.781970
89 6 260.000000 82.000000 342.000000 0.756269
89 7 481.000000 68.000000 549.000000 0.572771
# 89 mean times: 357.000000 78.375000 435.375000
# 89 balance: 0.792717, expected: 0.100000 (sys: 0.318979, total: 0.624749)
91 0 475.000000 80.000000 555.000000 0.638553
91 1 211.000000 90.000000 301.000000 0.792114
91 2 268.000000 85.000000 353.000000 0.768074
91 3 496.000000 75.000000 571.000000 0.580751
91 4 496.000000 90.000000 586.000000 0.618411
91 5 213.000000 91.000000 304.000000 0.785472
91 6 244.000000 93.000000 337.000000 0.770364
91 7 547.000000 76.000000 623.000000 0.597798
# 91 mean times: 368.750000 85.000000 453.750000
# 91 balance: 0.911186, expected: 0.100000 (sys: 0.211765, total: 0.709642)
93 0 469.000000 81.000000 550.000000 0.631715
93 1 206.000000 90.000000 296.000000 0.782426
93 2 255.000000 87.000000 342.000000 0.755702
93 3 524.000000 78.000000 602.000000 0.586499
93 4 504.000000 85.000000 589.000000 0.606370
93 5 234.000000 88.000000 322.000000 0.774898
93 6 257.000000 85.000000 342.000000 0.753037
93 7 460.000000 67.000000 527.000000 0.586553
# 93 mean times: 363.625000 82.625000 446.250000
# 93 balance: 0.874527, expected: 0.100000 (sys: 0.278366, total: 0.685714)
95 0 479.000000 83.000000 562.000000 0.649677
95 1 235.000000 89.000000 324.000000 0.789244
95 2 275.000000 89.000000 364.000000 0.766105
95 3 574.000000 74.000000 648.000000 0.596053
95 4 515.000000 81.000000 596.000000 0.632402
95 5 238.000000 90.000000 328.000000 0.786906
95 6 268.000000 81.000000 349.000000 0.772367
95 7 456.000000 79.000000 535.000000 0.625540
# 95 mean times: 380.000000 83.250000 463.250000
# 95 balance: 0.892105, expected: 0.100000 (sys: 0.192192, total: 0.699406)
97 0 466.000000 83.000000 549.000000 0.624947
97 1 224.000000 85.000000 309.000000 0.777773
97 2 232.000000 105.000000 337.000000 0.755612
97 3 453.000000 78.000000 531.000000 0.600947
97 4 494.000000 79.000000 573.000000 0.599648
97 5 223.000000 90.000000 313.000000 0.775984
97 6 263.000000 82.000000 345.000000 0.753104
97 7 545.000000 69.000000 614.000000 0.595466
# 97 mean times: 362.500000 83.875000 446.375000
# 97 balance: 0.888276, expected: 0.100000 (sys: 0.429210, total: 0.683282)
99 0 455.000000 88.000000 543.000000 0.629924
99 1 216.000000 80.000000 296.000000 0.780678
99 2 254.000000 82.000000 336.000000 0.757981
99 3 543.000000 67.000000 610.000000 0.574798
99 4 450.000000 78.000000 528.000000 0.594562
99 5 221.000000 80.000000 301.000000 0.782225
99 6 260.000000 78.000000 338.000000 0.756628
99 7 544.000000 69.000000 613.000000 0.586871
# 99 mean times: 367.875000 77.750000 445.625000
# 99 balance: 0.891607, expected: 0.100000 (sys: 0.270096, total: 0.711360)
101 0 438.000000 88.000000 526.000000 0.628229
101 1 227.000000 80.000000 307.000000 0.778744
101 2 269.000000 85.000000 354.000000 0.750752
101 3 545.000000 75.000000 620.000000 0.591662
101 4 520.000000 77.000000 597.000000 0.597270
101 5 243.000000 82.000000 325.000000 0.772350
101 6 272.000000 86.000000 358.000000 0.746713
101 7 548.000000 74.000000 622.000000 0.585473
# 101 mean times: 382.750000 80.875000 463.625000
# 101 balance: 0.838668, expected: 0.100000 (sys: 0.173107, total: 0.679428)
103 0 462.000000 83.000000 545.000000 0.625340
103 1 214.000000 84.000000 298.000000 0.774366
103 2 243.000000 87.000000 330.000000 0.754155
103 3 542.000000 70.000000 612.000000 0.579398
103 4 501.000000 80.000000 581.000000 0.589626
103 5 212.000000 83.000000 295.000000 0.776343
103 6 250.000000 83.000000 333.000000 0.756435
103 7 518.000000 72.000000 590.000000 0.588690
# 103 mean times: 367.750000 80.250000 448.000000
# 103 balance: 0.897349, expected: 0.100000 (sys: 0.211838, total: 0.707589)
105 0 468.000000 90.000000 558.000000 0.623868
105 1 216.000000 84.000000 300.000000 0.775854
105 2 263.000000 82.000000 345.000000 0.747543
105 3 531.000000 70.000000 601.000000 0.591155
105 4 478.000000 71.000000 549.000000 0.581562
105 5 220.000000 83.000000 303.000000 0.774650
105 6 259.000000 80.000000 339.000000 0.752176
105 7 524.000000 73.000000 597.000000 0.586775
# 105 mean times: 369.875000 79.125000 449.000000
# 105 balance: 0.851639, expected: 0.100000 (sys: 0.252765, total: 0.670379)
107 0 463.000000 81.000000 544.000000 0.620522
107 1 224.000000 75.000000 299.000000 0.770245
107 2 252.000000 84.000000 336.000000 0.747536
107 3 530.000000 73.000000 603.000000 0.593215
107 4 510.000000 77.000000 587.000000 0.590654
107 5 226.000000 79.000000 305.000000 0.768343
107 6 265.000000 81.000000 346.000000 0.749028
107 7 526.000000 73.000000 599.000000 0.587837
# 107 mean times: 374.500000 77.875000 452.375000
# 107 balance: 0.817089, expected: 0.100000 (sys: 0.141252, total: 0.672009)
109 0 466.000000 81.000000 547.000000 0.616265
109 1 226.000000 75.000000 301.000000 0.771648
109 2 263.000000 77.000000 340.000000 0.746259
109 3 538.000000 75.000000 613.000000 0.580660
109 4 500.000000 79.000000 579.000000 0.586679
109 5 223.000000 80.000000 303.000000 0.772976
109 6 258.000000 91.000000 349.000000 0.744136
109 7 521.000000 74.000000 595.000000 0.580980
# 109 mean times: 374.375000 79.000000 453.375000
# 109 balance: 0.841402, expected: 0.100000 (sys: 0.215190, total: 0.688172)
111 0 462.000000 89.000000 551.000000 0.645641
111 1 219.000000 86.000000 305.000000 0.787922
111 2 272.000000 86.000000 358.000000 0.764123
